Hizb	Suras
1	(1:1) - (2:74)
2	(2:75) - (2:141)
3	(2:142) - (2:202)
4	(2:203) - (2:252)
5	(2:253) - (3:14)
6	(3:15) - (3:92)
7	(3:93) - (3:170)
8	(3:171) - (4:23)
9	(4:24) - (4:87)
10	(4:88) - (4:147)
11	(4:148) - (5:26)
12	(5:27) - (5:81)
13	(5:82) - (6:35)
14	(6:36) - (6:110)
15	(6:111) - (6:165)
16	(7:1) - (7:87)
17	(7:88) - (7:170)
18	(7:171) - (8:40)
19	(8:41) - (9:33)
20	(9:34) - (9:92)
21	(9:93) - (10:25)
22	(10:26) - (11:5)
23	(11:6) - (11:83)
24	(11:84) - (12:52)
25	(12:53) - (13:18)
26	(13:19) - (14:52)
27	(15:1) - (16:50)
28	(16:51) - (16:128)
29	(17:1) - (17:98)
30	(17:99) - (18:74)
31	(18:75) - (19:98)
32	(20:1) - (20:135)
33	(21:1) - (21:112)
34	(22:1) - (22:78)
35	(23:1) - (24:20)
36	(24:21) - (25:20)
37	(25:21) - (26:110)
38	(26:111) - (27:55)
39	(27:56) - (28:50)
40	(28:51) - (29:45)
41	(29:46) - (31:21)
42	(31:22) - (33:30)
43	(33:31) - (34:23)
44	(34:24) - (36:27)
45	(36:28) - (37:144)
46	(37:145) - (39:31)
47	(39:32) - (40:40)
48	(40:41) - (41:46)
49	(41:47) - (43:23)
50	(43:24) - (45:37)
51	(46:1) - (48:17)
52	(48:18) - (51:30)
53	(51:31) - (54:55)
54	(55:1) - (57:29)
55	(58:1) - (61:14)
56	(62:1) - (66:12)
57	(67:1) - (71:28)
58	(72:1) - (77:50)
59	(78:1) - (86:17)
60	(87:1) - (114:6)
